Projeto;Url Github Repositorio;Acesso;Descrição;Linguagem;Link Projeto ativo
wordgalaxy;https://github.com/faelscarpato/wordgalaxy;Public;Game de croosword;TypeScript;wordgalaxy.pages.dev
capyops;https://github.com/faelscarpato/capyops;Public;ferramenta de gestao de vendas ml;TypeScript;capyops.pages.dev
buskacep;https://github.com/faelscarpato/buskacep;Public;sistema desenvolvido para cidade de pedreira, quando teve a troca de cep unico por cep por rua;HTML;buskacep.pages.dev
capymind;https://github.com/faelscarpato/capymind;Public;local de organização documental;Python;
docs;https://github.com/faelscarpato/docs;Public;;MDX;
bocaaberta;https://github.com/faelscarpato/bocaaberta;Public;Created with StackBlitz ??;JavaScript;bocaberta.pages.dev
petaladecor;https://github.com/faelscarpato/petaladecor;Public;;TypeScript;petala.pages.dev
faelscarpato.github.io;https://github.com/faelscarpato/faelscarpato.github.io;Public;Meu Site Bio;CSS;
rafael;https://github.com/faelscarpato/rafael;Public;Portfólio de projetos e habilidades e contatos;HTML;
capyviewport;https://github.com/faelscarpato/capyviewport;Public;Paste a URL to preview multiple viewport sizes, run Lighthouse plus custom checks, and download a PWA kit.;TypeScript;capyviewport.pages.dev
capyuniverse;https://github.com/faelscarpato/capyuniverse;Public;Ecossistema de ferramentas com IA integradas e agentes inteligentes. CapyUniverse é o universo digital das capivaras futuristas.;HTML;capyuniverse.pages.dev
capyscar;https://github.com/faelscarpato/capyscar;Public;Site de portfólio moderno e responsivo para desenvolvedor full-stack, com seções de projetos, habilidades, blog e contato, incluindo animações WebGL interativas · Construído com Manus;TypeScript;capyscar.pages.dev
faelscarpato;https://github.com/faelscarpato/faelscarpato;Public template;Config files for my GitHub profile.;;
genios;https://github.com/faelscarpato/genios;Public;Nós podemos ajudar. Invoque as mentes mais brilhantes da história para colaborar no seu projeto.;TypeScript;genios.pages.dev
devscarpato;https://github.com/faelscarpato/devscarpato;Public;Portfólio de projetos criados para aprendizado;TypeScript;
capyroom;https://github.com/faelscarpato/capyroom;Public;Seu editor rápido de fotografias sem ser pesado;TypeScript;capyroom.pages.dev
DaVinci;https://github.com/faelscarpato/DaVinci;Public;Uma experiência em estilo renascentista onde você descreve uma ideia, invenção ou sonho… …e o “Léo” te devolve conceitos, artefatos e caminhos de criação misturando engenharia e arte.;TypeScript;DaVinci.pages.dev
capycontrato;https://github.com/faelscarpato/capycontrato;Public;Transforme intenções em contratos profissionais e robustos em segundos com o motor de redação jurídica mais avançado da categoria.;TypeScript;
capyvision;https://github.com/faelscarpato/capyvision;Public;Você acaba de entrar na suíte criativa mais avançada movida pela inteligência do Gemini 3. Imagens 4K, vídeos cinemáticos e análises profundas esperam por você.;TypeScript;
capychart;https://github.com/faelscarpato/capychart;Public;geração de dashboards;TypeScript;
regift;https://github.com/faelscarpato/regift;Public;Swap unwanted gifts nearby;TypeScript;regift.pages.dev
fullsearchai;https://github.com/faelscarpato/fullsearchai;Public;DeepResearchAI;TypeScript;fullsearchai.pages.dev
aura;https://github.com/faelscarpato/aura;Public;assistente de voz;TypeScript;aura.pages.dev
sgq;https://github.com/faelscarpato/sgq;Public;teste de relatorios;HTML;
CapyAI-wx;https://github.com/faelscarpato/CapyAI-wx;Public;;TypeScript;
jarvisai;https://github.com/faelscarpato/jarvisai;Public;assistente;TypeScript;
saveplace;https://github.com/faelscarpato/saveplace;Public;prototipo familt guard;TypeScript;
capydeal;https://github.com/faelscarpato/capydeal;Public;CapyDeal - Caçador de preço na Black;JavaScript;
CapyFlow;https://github.com/faelscarpato/CapyFlow;Public;uma plataforma de chatbot movida a IA que combina múltiplos agentes especializados em uma experiência contínua.;JavaScript;
Capystudio;https://github.com/faelscarpato/Capystudio;Public;;TypeScript;
CapyAI_lite;https://github.com/faelscarpato/CapyAI_lite;Public;CapyAI_lite - Made with Reflex Build;Python;
capyllm;https://github.com/faelscarpato/capyllm;Public;capyllm - Made with Reflex Build;Python;
SC-Web;https://github.com/faelscarpato/SC-Web;Public archive;;Astro;
CapyUniverseAI;https://github.com/faelscarpato/CapyUniverseAI;Public;;TypeScript;
capy-ai-verse;https://github.com/faelscarpato/capy-ai-verse;Public;;TypeScript;
capypwa;https://github.com/faelscarpato/capypwa;Public;;TypeScript;
capy-ai-studio;https://github.com/faelscarpato/capy-ai-studio;Public;;TypeScript;
capyide;https://github.com/faelscarpato/capyide;Public;Plataforma de IA de geraçao de html;HTML;
capaci-nexus;https://github.com/faelscarpato/capaci-nexus;Public;;TypeScript;
mb-vision-flow;https://github.com/faelscarpato/mb-vision-flow;Public;;TypeScript;
CapyAI;https://github.com/faelscarpato/CapyAI;Public;;TypeScript;
status;https://github.com/faelscarpato/status;Public;Teste de envio de imagem por mensagem whatsapp;HTML;
capy-universe;https://github.com/faelscarpato/capy-universe;Public;;HTML;
capyag;https://github.com/faelscarpato/capyag;Public;Created by Leap: https://leap.new;TypeScript;
CapyAgente;https://github.com/faelscarpato/CapyAgente;Public;;TypeScript;
CapyMobile;https://github.com/faelscarpato/CapyMobile;Public;;TypeScript;
capycreative;https://github.com/faelscarpato/capycreative;Public;;TypeScript;
capy;https://github.com/faelscarpato/capy;Public;Chat com CapyUniverse;HTML;
plasti-flow-master;https://github.com/faelscarpato/plasti-flow-master;Public;;TypeScript;
foto-festa-digital;https://github.com/faelscarpato/foto-festa-digital;Public;;TypeScript;
cdm;https://github.com/faelscarpato/cdm;Public;;HTML;
capyfactory;https://github.com/faelscarpato/capyfactory;Public;;TypeScript;
gppfabril;https://github.com/faelscarpato/gppfabril;Public;;TypeScript;
capyptt;https://github.com/faelscarpato/capyptt;Public;Teste;JavaScript;
Industrial;https://github.com/faelscarpato/Industrial;Public;;TypeScript;
CapyMES;https://github.com/faelscarpato/CapyMES;Public;;TypeScript;
plasticosystem;https://github.com/faelscarpato/plasticosystem;Public;;TypeScript;
pausas;https://github.com/faelscarpato/pausas;Public;teste de plataforma de roteamento e troca de horarios de pausas;HTML;
pausa;https://github.com/faelscarpato/pausa;Public;;TypeScript;
plastic-flow;https://github.com/faelscarpato/plastic-flow;Public;;TypeScript;
absencia-control;https://github.com/faelscarpato/absencia-control;Public;;TypeScript;
capychat;https://github.com/faelscarpato/capychat;Public;;TypeScript;
lightroom;https://github.com/faelscarpato/lightroom;Public;;TypeScript;
agentchat;https://github.com/faelscarpato/agentchat;Public;;HTML;
t3;https://github.com/faelscarpato/t3;Public;Teste de Sistema com Supabase;HTML;
cv;https://github.com/faelscarpato/cv;Public;;HTML;
excelamiga;https://github.com/faelscarpato/excelamiga;Public;Created with StackBlitz ??;TypeScript;
SchatAI;https://github.com/faelscarpato/SchatAI;Public;;TypeScript;
VagasAI-gpt;https://github.com/faelscarpato/VagasAI-gpt;Public;Teste de projeto com ligação de análise por IA;HTML;
Assinatura;https://github.com/faelscarpato/Assinatura;Public;Assinatura virtual;JavaScript;
idea-forge-nexus;https://github.com/faelscarpato/idea-forge-nexus;Public;;TypeScript;
originais;https://github.com/faelscarpato/originais;Public;sistema de escolha de fotos e envio dos nomes das fotos escolhidas por WhatsApp;HTML;
webbio;https://github.com/faelscarpato/webbio;Public;;CSS;
suporte-gemini;https://github.com/faelscarpato/suporte-gemini;Public;;JavaScript;
Buscaki;https://github.com/faelscarpato/Buscaki;Public;;JavaScript;
ferramentasSC;https://github.com/faelscarpato/ferramentasSC;Public;;JavaScript;
ScFotos;https://github.com/faelscarpato/ScFotos;Public;Desenvolvimento de Websites responsivos de galeria de fotos;CSS;
pedreiracep;https://github.com/faelscarpato/pedreiracep;Public;site para consulta de novos Ceps da cidade de pedreira-SP - Atualizado em 27/12/2024;CSS;
isa;https://github.com/faelscarpato/isa;Public;Projeto de Site Psicólogo;CSS;
SiteAdb;https://github.com/faelscarpato/SiteAdb;Public;;JavaScript;
analeodoro;https://github.com/faelscarpato/analeodoro;Public;Projeto de BioLink em andamento.;CSS;
scarpatoweb;https://github.com/faelscarpato/scarpatoweb;Public;Site de serviços;HTML;
metalcoroa;https://github.com/faelscarpato/metalcoroa;Public;Projeto de Mini Pagina de links;CSS;
Barbearia14;https://github.com/faelscarpato/Barbearia14;Public;Projeto de Landpage para Barbearia;HTML;
Coroa;https://github.com/faelscarpato/Coroa;Public;Projeto de site para uma empresa de fabricação de ferramentas agrícolas, em andamento;CSS;
cardapio;https://github.com/faelscarpato/cardapio;Public;LandPage de Lanchonete com Cardápio de Envio automático do pedido para WhatsApp;HTML;
residenceparkhotel;https://github.com/faelscarpato/residenceparkhotel;Public;;HTML;
gaimpressoes;https://github.com/faelscarpato/gaimpressoes;Public;site da empresa em que trabalho.;HTML;
Gera_Qr;https://github.com/faelscarpato/Gera_Qr;Public;gerador de QR-Code;CSS;
calculadora;https://github.com/faelscarpato/calculadora;Public;Projeto em Html, CSS e JS de uma calculadora simples.;CSS;
Scarpato;https://github.com/faelscarpato/Scarpato;Public template;;CSS;
Proped;https://github.com/faelscarpato/Proped;Public archive;;;
capycv;https://github.com/faelscarpato/capycv;Private;Análise de Currículo Alimentada por IA;TypeScript;https://v0-curriculumweb.vercel.app/
absen-track-dashboard;https://github.com/faelscarpato/absen-track-dashboard;Private;Registre as presenças e faltas dos funcionários.;TypeScript;https://v0-absenteismo.vercel.app/
capyexcel;https://github.com/faelscarpato/capyexcel;Private;Assistente Excel!;TypeScript;https://stackblitz.com/~/github.com/faelscarpato/capyexcel
VagasAI;https://github.com/faelscarpato/vagasAI;Private;Sistema Inteligente de Avaliação de Currículos;TypeScript;https://metchvagasia-15.lovable.app/
metchvagasia;https://github.com/faelscarpato/metchvagasia;Private;Sistema Inteligente de Avaliação de Currículos;TypeScript;https://metchvagasia.lovable.app/
code-clarity-conductor-09;https://github.com/faelscarpato/code-clarity-conductor-09;Private;Clareza de Codigo;TypeScript;https://codeclarity.lovable.app
capibaraanalytics;https://github.com/faelscarpato/capibaraanalytics;Private;Avalie submissões de código com precisão. Obtenha feedback instantâneo sobre correção, eficiência e qualidade.;TypeScript;https://capibaraanalytics.lovable.app
mb-plastics-reimagine;https://github.com/faelscarpato/mb-plastics-reimagine;Private;modern redesign for the Plásticos MB website;TypeScript;https://mb-plastics-reimagine.lovable.app
facinho;https://github.com/faelscarpato/facinho;Private;online course platform ;TypeScript;https://facinho.lovable.app
capyplanner;https://github.com/faelscarpato/capyplanner;Private;CapyPlanner - AI Agent Task Planner;TypeScript;https://capyplanner-app-d2jj9ds82vjjq7dsk68g.lp.dev/
capygame;https://github.com/faelscarpato/capygame;Private;Um sistema web completo para jogos narrativos por fases com exploração, charadas e imagens geradas dinamicamente.;TypeScript;https://vm-p833aybdi1wpknfrwh5pmj.vusercontent.net/
creative;https://github.com/faelscarpato/creative;Private;EditForge Professional;TypeScript;https://staging-leap-app-wvw2.frontend.encr.app/
scarpato-mobile;https://github.com/faelscarpato/scarpato-mobile;Private;Gestão Empresarial;TypeScript;https://proj_d1u7ars82vjnkja0sgrg.lp.dev/
Capyide1;https://github.com/faelscarpato/Capyide1;Private;ide;TypeScript;https://v0-capyide.vercel.app/
capyide-ai-coder-studio;https://github.com/faelscarpato/capyide-ai-coder-studio;Private;CapyIDE - AI-powered development environment;TypeScript;https://capyide.lovable.app
forklift-safety-tracker-97;https://github.com/faelscarpato/forklift-safety-tracker-97;Private;Gestão Operacional de operadores;TypeScript;https://operagestao.lovable.app
dashboardset;https://github.com/faelscarpato/dashboardset;Private; sistema de intranet para indústria de plásticos;TypeScript;https://dashboardset.lovable.app/
capybio;https://github.com/faelscarpato/capybio;Private;Converse com a IA pessoal do Rafael Scarpato;TypeScript;https://capybio.vercel.app/
aura-os;https://github.com/faelscarpato/aura-os;Private;sistema operacional de IA pessoal completo;TypeScript;https://auraosia.lovable.app/
essential-windows;https://github.com/faelscarpato/essential-windows;Private;simulador do Windows 11 MVP como webapp! Inspiração: design Fluent da Microsoft ;TypeScript;https://capywin.lovable.app/
capydeal-68cfe010;https://github.com/faelscarpato/capydeal-68cfe010;Private;Busca inteligente de preços;TypeScript;https://capydeal.lovable.app/
profit-navigator-2026;https://github.com/faelscarpato/profit-navigator-2026;Private;Calculadora de precificação com Markup Divisor — garanta que sua margem de lucro seja exatamente o que você definiu, sem surpresas tributárias.;TypeScript;https://capylucro.lovable.app/
capyuniv2;https://github.com/faelscarpato/capyuniv2;Private;CapyUNI Codium é um ambiente de desenvolvimento web persistente, leve e impulsionado por IA. Criado para demonstrar o poder de aplicações web modernas com React, IndexedDB e Monaco Editor.;TypeScript;https://capyuniv2.pages.dev/
Capysaas;https://github.com/faelscarpato/Capysaas;Private;um sistema completo de gestão operacional para lojas do Mercado Livre. A aplicação está totalmente funcional com autenticação, banco de dados relacional, e todas as funcionalidades descritas na sua documentação.;TypeScript;https://capysaas.figma.site/
capybox;https://github.com/faelscarpato/capybox;Private;Capybox é um painel interno para fábricas pequenas de caixas de papelão;TypeScript;https://capybox.pages.dev/login
capypages;https://github.com/faelscarpato/capypages;Private;CapyPages é o estúdio/diretório de serviços digitais do Scarpato;TypeScript;
palavra-cruzada-brasil;https://github.com/faelscarpato/palavra-cruzada-brasil;Private;Os animais da fauna brasileira vão te guiar por uma jornada pelo Brasil, seus biomas, culturas, economias e políticas. Cada fase é um pedaço dessa aventura!;TypeScript;https://brasilcross.lovable.app/
superclub;https://github.com/faelscarpato/superclub;Private;clube para supermercados - Varejão São Francisco – Portal do Cliente & Admin (SuperClub);TypeScript;https://superclub.pages.dev/
Capy-Station;https://github.com/faelscarpato/Capy-Station;Private;Portfólio WebGL: Stackverse / Capy Station (full-stack em forma de “mundo”;TypeScript;
timewiserh;https://github.com/faelscarpato/timewiserh;Private;Sistema completo de controle de jornada de trabalho;TypeScript;https://timewiserh.lovable.app/login
CapyUNIcode;https://github.com/faelscarpato/CapyUNIcode;Private;A robust, VSCode-like web IDE with a dedicated kernel, workspace management, and on-demand runtime.;TypeScript;
capysite;https://github.com/faelscarpato/capysite;Private;Your unified platform for AI-powered tools. From branding to landing pages, we've got you covered.;TypeScript;https://staging-capysite-web-creation-platform-xxy2.frontend.encr.app/